Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
106.88035000000009,1750,,,,-0.921875,-0.8671875,0.193359375,,,11.447053600831286,10.458712489148859,12874,0,119.72144245897057,,84.94257137224088,,,1.978515625,,
106.90515999999968,1750,,,,-0.849609375,0.65234375,0.078125,0.07534342373718017,,11.446757495026553,10.453470663906957,12874,0,119.65834367111717,101.57130361243868,84.88443053466376,0.003958650419542858,0.003360277865487033,1.978515625,,
106.93777000000001,1750,,,,-1.298828125,0.107421875,0.783203125,,,11.445212675815267,10.48636011426353,12882,0,120.01862170293258,,84.68324478310193,,,1.98828125,,
106.97287999999989,1750,,,,-0.86328125,-0.490234375,-0.109375,,,11.444999111506817,10.484581393812348,12882,0,119.99602473670323,,84.70385207932735,,,1.990234375,,
106.99677000000001,1750,,,,-1.03515625,-0.046875,-0.052734375,,0.4019967247921457,11.444725238145056,10.471986268491936,12876,0,119.84900554051812,,84.76503303735356,,,1.978515625,,
107.01843500000005,1750,,,,-1.390625,0.90234375,1.146484375,,,11.444632747179247,10.470466334169455,12882,0,119.83064188627358,,84.81827073815631,,,1.974609375,,
107.04327499999991,1751,,,,-0.57421875,-0.689453125,0.107421875,,,11.444703332745851,10.457509607004488,12869,0,119.68309505150602,,84.83951034401525,,,1.982421875,,
107.06691500000004,1751,,,,-1.287109375,0.994140625,0.1875,0.07552184452197784,,11.444793143470891,10.460447627534878,12870,0,119.71765928524752,101.78581968472395,85.02155846716151,0.00394943741709119,0.0033578732426961396,1.974609375,,
107.09314000000013,1751,,,,-0.84375,-1.08203125,-0.537109375,,,11.444740871170993,10.4614791068672,12863,0,119.72891750726446,,84.96720820752056,,,1.96484375,,
107.11553000000026,1751,,,,-1.3359375,0.736328125,0.08203125,,0.4038274518891928,11.443929516591215,10.462933567034378,12875,0,119.73707427791773,,85.0386706154197,,,1.970703125,,
107.13939999999991,1751,,,,-1.0625,-0.216796875,0.533203125,,,11.443790682555308,10.464530386857236,12871,0,119.75389533843374,,84.9977038589608,,,1.97265625,,
