Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
139.379084999999,1993,,,,-1.0625,0.0234375,-0.00390625,,,11.7449967727424,10.6839357437337,14964,0,125.48279083034,,67.056360450421,,,0.154296875,
139.401449999999,1993,,,,-1.03125,-0.0703125,0.08203125,,,11.7449827926327,10.6832266278083,14965,0,125.474312913405,,67.0621434881214,,,0.154296875,
139.429029999999,1993,,,,-1.03125,0.041015625,0.064453125,,0.345216936705008,11.7448275938284,10.6814827752708,14969,0,125.452173642004,,67.0941018875905,,,0.15234375,
139.45202,1993,,,,-1.08203125,0.005859375,-0.0703125,,,11.7447166465776,10.6824657363669,14964,0,125.462533160403,,67.0655175676123,,,0.15234375,
139.48173,1993,,,,-1.015625,-0.015625,-0.072265625,,,11.7445267879524,10.6841668378573,14958,0,125.480483634167,,67.0287016281282,,,0.150390625,
139.506209999999,1993,,,,-1.037109375,-0.029296875,0.021484375,0.053800000881257,,11.7446143425226,10.6838033905558,14964,0,125.477150533413,84.3055531146863,67.187972277261,0.004094830339769,0.002751233473485,0.1484375,
139.53956,1994,,,,-1.048828125,0.05078125,0.11328125,,,11.7444980827046,10.684721269369,14963,0,125.486688462338,,67.1808376063649,,,0.150390625,
139.56064,1994,,,,-1.0078125,-0.08984375,0.03515625,,0.345312928219803,11.7443454670782,10.6837693944593,14962,0,125.473878659127,,67.179004512916,,,0.150390625,
139.582515,1994,,,,-0.96875,-0.099609375,-0.076171875,,,11.7443654085836,10.6847894003069,14960,0,125.486071030965,,67.1661814812964,,,0.150390625,
139.615675,1994,,,,-1.0625,-0.056640625,-0.060546875,,,11.7440158072719,10.6863961806401,14956,0,125.501205668207,,67.1376784354477,,,0.154296875,
139.642739999999,1994,,,,-1.052734375,0.048828125,0.046875,0.054016180538598,,11.7441210194694,10.6900862898172,14954,0,125.545667096184,84.5881176934018,67.3763735936793,0.004082286468076,0.002750496581895,0.15234375,
139.664435,1994,,,,-1.099609375,0.04296875,0.02734375,,,11.7441592416197,10.6916882628729,14948,0,125.564889520936,,67.3392727025662,,,0.154296875,
139.685574999999,1994,,,,-1.0625,0.001953125,-0.05078125,,,11.7442633605951,10.691492220206,14944,0,125.563700351853,,67.3221180155697,,,0.154296875,
139.70787,1994,,,,-1.09375,0.017578125,-0.0625,,0.346145704268892,11.7439349912007,10.6941895639228,14940,0,125.591867022286,,67.2896000695673,,,0.154296875,
139.730319999999,1995,,,,-1.0234375,-0.029296875,-0.0234375,,,11.7439435709374,10.6953784594166,14937,0,125.605921097209,,67.2683364369272,,,0.15234375,
139.752815,1995,,,,-0.984375,-0.064453125,0.029296875,,,11.7437535554234,10.6981127056955,14935,0,125.635999123832,,67.2415653861724,,,0.15234375,
139.784834999999,1995,,,,-1.0625,0.076171875,0.078125,,,11.7441591295099,10.7028350994486,14934,0,125.695798544828,,67.2077429885137,,,0.15234375,
139.821849999999,1995,,,,-1.072265625,0.048828125,-0.029296875,0.054126503427162,,11.7438703577516,10.7066742340417,14934,0,125.737794167265,84.6493986134944,67.3221597166623,0.004089169089663,0.002752916945628,0.150390625,
139.844664999999,1995,,,,-1.04296875,-0.095703125,-0.05859375,,,11.7435701137347,10.7062962916558,14931,0,125.730141159477,,67.3119126029803,,,0.150390625,
139.876909999999,1995,,,,-1.048828125,-0.015625,0.05078125,,0.345666109033813,11.7433735665128,10.7069098203284,14934,0,125.735241763081,,67.3205772072648,,,0.154296875,
139.900955,1995,,,,-1.05078125,0.03515625,0.052734375,,,11.7434144868094,10.7083462988747,14930,0,125.752549055977,,67.2955458557022,,,0.154296875,
139.929379999999,1996,,,,-1.037109375,-0.00390625,-0.03125,,,11.7436552313826,10.7082023063973,14935,0,125.753436034225,,67.3177666464412,,,0.154296875,
139.952375,1996,,,,-1.037109375,-0.08984375,-0.080078125,0.054157130134292,,11.7435409908653,10.7087421344727,14932,0,125.758552216787,84.681341930229,67.3364478498864,0.004081963052955,0.002748648922404,0.15625,
139.98272,1996,,,,-1.048828125,0.044921875,0.05859375,,,11.7436146829054,10.7075802241944,13393,0,125.745696339237,,60.4047232270535,,,0.158203125,
140.00619,1996,,,,-1.03125,0.01953125,0.03515625,,0.346248869767698,11.7431360740694,10.7090495382587,14665,0,125.757825951721,,66.1370578419542,,,0.15625,
140.029305,1996,,,,-1.140625,-0.033203125,-0.001953125,,,11.7427676699907,10.7100211471182,14886,0,125.765290071297,,67.1277577232361,,,0.16015625,
140.051444999999,1996,,,,-0.986328125,-0.03125,-0.095703125,,,11.7427330440127,10.7101827624632,14923,0,125.766817032192,,67.2917251261745,,,0.16015625,
